Начало раунда 17
Игрок 1: Дон мафии
Игрок 2: Мафия
Игрок 3: Мафия
Игрок 6: Мафия
Игрок 7: Мафия
Игрок 8: Мафия
Игрок 10: Мафия
Игрок 11: Мафия
Игрок 13: Мафия
Игрок 14: Мафия
Игрок 15: Мафия
Игрок 16: Мафия
Игрок 17: Мафия
Игрок 18: Мафия
Игрок 19: Мафия
Игрок 20: Мафия
Игрок 21: Мафия
Игрок 22: Мафия
Игрок 23: Мафия
Игрок 24: Мафия
Игрок 25: Мафия
Игрок 26: Мафия
Игрок 27: Мафия
Игрок 28: Мафия
Игрок 29: Мафия
Игрок 30: Мафия
Игрок 32: Мафия
Игрок 33: Мафия
Игрок 34: Мафия
Игрок 35: Мафия
Игрок 36: Мафия
Игрок 37: Мафия
Игрок 38: Мафия
Игрок 39: Мафия
Игрок 40: Мафия
Игрок 42: Мафия
Игрок 43: Мафия
Игрок 44: Мафия
Игрок 45: Мафия
Игрок 46: Мафия
Игрок 47: Мафия
Игрок 48: Мафия
Игрок 49: Мафия
Игрок 50: Мафия
Игрок 51: Мафия
Игрок 52: Мафия
Игрок 53: Мафия
Игрок 54: Мафия
Игрок 55: Мафия
Игрок 56: Мафия
Игрок 58: Мафия
Игрок 59: Мафия
Игрок 60: Мафия
Игрок 61: Мафия
Игрок 62: Мафия
Игрок 63: Мафия
Игрок 64: Мафия
Игрок 65: Мафия
Игрок 66: Мафия
Игрок 67: Мафия
Игрок 68: Мафия
Игрок 69: Мафия
Игрок 70: Мафия
Игрок 71: Мафия
Игрок 72: Мафия
Игрок 73: Мафия
Игрок 74: Мафия
Игрок 75: Мафия
Игрок 76: Мафия
Игрок 77: Мафия
Игрок 78: Мафия
Игрок 79: Мафия
Игрок 80: Мафия
Игрок 81: Мафия
Игрок 82: Мафия
Игрок 83: Мафия
Игрок 84: Мафия
Игрок 85: Мафия
Игрок 86: Мафия
Игрок 87: Мафия
Игрок 88: Мафия
Игрок 89: Мафия
Игрок 90: Мафия
Игрок 91: Мафия
Игрок 92: Мафия
Игрок 93: Мафия
Игрок 94: Мафия
Игрок 95: Мафия
Игрок 96: Мафия
Игрок 97: Мафия
Игрок 98: Мафия
Игрок 99: Мафия
Игрок 100: Мафия
Игрок 102: Мафия
Игрок 103: Мафия
Игрок 104: Мафия
Игрок 105: Мафия
Игрок 106: Мафия
Игрок 107: Мафия
Игрок 108: Мафия
Игрок 109: Мафия
Игрок 110: Мафия
Игрок 111: Мафия
Игрок 112: Мафия
Игрок 114: Мафия
Игрок 115: Мафия
Игрок 116: Мафия
Игрок 117: Мафия
Игрок 118: Мафия
Игрок 119: Мафия
Игрок 120: Мафия
Игрок 121: Мафия
Игрок 122: Мафия
Игрок 123: Мафия
Игрок 125: Мафия
Игрок 126: Мафия
Игрок 127: Мафия
Игрок 128: Мафия
Игрок 129: Мафия
Игрок 130: Мафия
Игрок 131: Мафия
Игрок 132: Мафия
Игрок 133: Мафия
Игрок 134: Мафия
Игрок 135: Мафия
Игрок 136: Мафия
Игрок 137: Мафия
Игрок 138: Мафия
Игрок 139: Мафия
Игрок 140: Мафия
Игрок 141: Мафия
Игрок 142: Мафия
Игрок 143: Мафия
Игрок 144: Мафия
Игрок 145: Мафия
Игрок 146: Мафия
Игрок 147: Мафия
Игрок 148: Мафия
Игрок 149: Мафия
Игрок 150: Мафия
Игрок 151: Мафия
Игрок 152: Мафия
Игрок 153: Мафия
Игрок 154: Мафия
Игрок 155: Мафия
Игрок 156: Мафия
Игрок 157: Мафия
Игрок 158: Мафия
Игрок 159: Мафия
Игрок 160: Мафия
Игрок 161: Мафия
Игрок 162: Мафия
Игрок 163: Мафия
Игрок 164: Мафия
Игрок 165: Мафия
Игрок 166: Мафия
Игрок 167: Мафия
Игрок 168: Мафия
Игрок 169: Мафия
Игрок 170: Мафия
Игрок 171: Мафия
Игрок 172: Мафия
Игрок 174: Мафия
Игрок 176: Мафия
Игрок 177: Мафия
Игрок 178: Мафия
Игрок 179: Мафия
Игрок 180: Мафия
Игрок 181: Мафия
Игрок 182: Мафия
Игрок 183: Мафия
Игрок 184: Мафия
Игрок 185: Мафия
Игрок 186: Мафия
Игрок 187: Мафия
Игрок 188: Мафия
Игрок 189: Мафия
Игрок 190: Мафия
Игрок 191: Мафия
Игрок 192: Мафия
Игрок 193: Мафия
Игрок 194: Мафия
Игрок 195: Мафия
Игрок 196: Мафия
Игрок 197: Мафия
Игрок 198: Мафия
Игрок 199: Мафия
Игрок 200: Мафия
Игрок 201: Комиссар
Игрок 202: Маньяк
Игрок 203: Мирный житель
Игрок 204: Мирный житель
Игрок 205: Мирный житель
Игрок 206: Мирный житель
Игрок 207: Мирный житель
Игрок 208: Мирный житель
Игрок 209: Мирный житель
Игрок 210: Мирный житель
Игрок 211: Мирный житель
Игрок 212: Мирный житель
Игрок 213: Мирный житель
Игрок 214: Мирный житель
Игрок 215: Мирный житель
Игрок 216: Мирный житель
Игрок 217: Мирный житель
Игрок 218: Мирный житель
Игрок 219: Мирный житель
Игрок 220: Мирный житель
Игрок 221: Мирный житель
Игрок 222: Мирный житель
Игрок 223: Мирный житель
Игрок 224: Мирный житель
Игрок 225: Мирный житель
Игрок 227: Мирный житель
Игрок 228: Мирный житель
Игрок 229: Мирный житель
Игрок 230: Мирный житель
Игрок 232: Мирный житель
Игрок 233: Мирный житель
Игрок 235: Мирный житель
Игрок 237: Мирный житель
Игрок 238: Мирный житель
Игрок 239: Мирный житель
Игрок 240: Мирный житель
Игрок 241: Мирный житель
Игрок 242: Мирный житель
Игрок 243: Мирный житель
Игрок 244: Мирный житель
Игрок 245: Мирный житель
Игрок 246: Мирный житель
Игрок 248: Мирный житель
Игрок 249: Мирный житель
Игрок 250: Мирный житель
Игрок 251: Мирный житель
Игрок 252: Мирный житель
Игрок 253: Мирный житель
Игрок 254: Мирный житель
Игрок 255: Мирный житель
Игрок 256: Мирный житель
Игрок 257: Мирный житель
Игрок 258: Мирный житель
Игрок 259: Мирный житель
Игрок 260: Мирный житель
Игрок 261: Мирный житель
Игрок 262: Мирный житель
Игрок 263: Мирный житель
Игрок 264: Мирный житель
Игрок 265: Мирный житель
Игрок 266: Мирный житель
Игрок 267: Мирный житель
Игрок 268: Мирный житель
Игрок 269: Мирный житель
Игрок 270: Мирный житель
Игрок 271: Мирный житель
Игрок 272: Мирный житель
Игрок 273: Мирный житель
Игрок 274: Мирный житель
Игрок 275: Мирный житель
Игрок 276: Мирный житель
Игрок 277: Мирный житель
Игрок 278: Мирный житель
Игрок 279: Мирный житель
Игрок 280: Мирный житель
Игрок 281: Мирный житель
Игрок 282: Мирный житель
Игрок 283: Мирный житель
Игрок 284: Мирный житель
Игрок 285: Мирный житель
Игрок 286: Мирный житель
Игрок 287: Мирный житель
Игрок 288: Мирный житель
Игрок 289: Мирный житель
Игрок 290: Мирный житель
Игрок 291: Мирный житель
Игрок 292: Мирный житель
Игрок 293: Мирный житель
Игрок 294: Мирный житель
Игрок 295: Мирный житель
Игрок 296: Мирный житель
Игрок 297: Мирный житель
Игрок 298: Мирный житель
Игрок 299: Мирный житель
Игрок 300: Мирный житель
Игрок 301: Мирный житель
Игрок 302: Мирный житель
Игрок 303: Мирный житель
Игрок 304: Мирный житель
Игрок 305: Мирный житель
Игрок 306: Мирный житель
Игрок 307: Мирный житель
Игрок 308: Мирный житель
Игрок 309: Мирный житель
Игрок 310: Мирный житель
Игрок 311: Мирный житель
Игрок 312: Мирный житель
Игрок 313: Мирный житель
Игрок 314: Мирный житель
Игрок 315: Мирный житель
Игрок 316: Мирный житель
Игрок 317: Мирный житель
Игрок 318: Мирный житель
Игрок 319: Мирный житель
Игрок 320: Мирный житель
Игрок 321: Мирный житель
Игрок 322: Мирный житель
Игрок 323: Мирный житель
Игрок 324: Мирный житель
Игрок 325: Мирный житель
Игрок 326: Мирный житель
Игрок 327: Мирный житель
Игрок 328: Мирный житель
Игрок 329: Мирный житель
Игрок 330: Мирный житель
Игрок 331: Мирный житель
Игрок 332: Мирный житель
Игрок 333: Мирный житель
Игрок 334: Мирный житель
Игрок 335: Мирный житель
Игрок 336: Мирный житель
Игрок 337: Мирный житель
Игрок 338: Мирный житель
Игрок 339: Мирный житель
Игрок 340: Мирный житель
Игрок 341: Мирный житель
Игрок 342: Мирный житель
Игрок 343: Мирный житель
Игрок 345: Мирный житель
Игрок 346: Мирный житель
Игрок 347: Мирный житель
Игрок 348: Мирный житель
Игрок 349: Мирный житель
Игрок 350: Мирный житель
Игрок 351: Мирный житель
Игрок 352: Мирный житель
Игрок 353: Мирный житель
Игрок 354: Мирный житель
Игрок 355: Мирный житель
Игрок 356: Мирный житель
Игрок 357: Мирный житель
Игрок 358: Мирный житель
Игрок 359: Мирный житель
Игрок 360: Мирный житель
Игрок 361: Мирный житель
Игрок 362: Мирный житель
Игрок 363: Мирный житель
Игрок 364: Мирный житель
Игрок 366: Мирный житель
Игрок 367: Мирный житель
Игрок 368: Мирный житель
Игрок 369: Мирный житель
Игрок 370: Мирный житель
Игрок 371: Мирный житель
Игрок 372: Мирный житель
Игрок 373: Мирный житель
Игрок 374: Мирный житель
Игрок 375: Мирный житель
Игрок 376: Мирный житель
Игрок 377: Мирный житель
Игрок 378: Мирный житель
Игрок 379: Мирный житель
Игрок 380: Мирный житель
Игрок 381: Мирный житель
Игрок 382: Мирный житель
Игрок 383: Мирный житель
Игрок 384: Мирный житель
Игрок 385: Мирный житель
Игрок 386: Мирный житель
Игрок 387: Мирный житель
Игрок 388: Мирный житель
Игрок 389: Мирный житель
Игрок 390: Мирный житель
Игрок 391: Мирный житель
