num_proc,avg_exec_time,avg_final_cost
2,102.92470049858093,2651.6
4,137.61955246925353,1932.0
6,162.69153728485108,1767.4
8,193.49840145111085,1771.0
10,272.11789803504945,1360.8
12,184.53299198150634,1697.6
14,275.1052745342255,1264.0
